EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
MN184450;ZSP Bruchmühlbach;Eisenbahnstr. 16;66892
MNFM100131485;helplinePRO AMayer Bruchmühlbach;Kaiserstraße 87;66892
MN184504;ZSP Schönenberg-Kübelb.;Rathausstr. 3;66901
MNFM100123023;Sg 3540 Betriebssteuerung;Grubenstr. 21;66904
MN184463;ZSP Rehweiler;Gewerbegebiet Himsbach 4;66907
MN184515;ZSP Waldmohr;Bruchstr. 15;66914
MN184489;ZSP Pirmasens;Blümelstalstr. 2a;66953
MN184511;ZSP Thaleischweiler;Gutenbergstr. 30;66987
MN184458;ZSP Dahn;Gewerbepark Neudahn 2;66994
DUP847-MN181;ZB Ludwigshafen;Ernst-Böhe-Str. 25;67059
MNFM100000642;Ludwigshafen 1;Ernst-Boehe-Str. 25;67059
MNFM100008601;PB Firmenkunden AG;Ernst-Boehe-Str. 15;67059
MNFM100128230;BZ Ludwigshafen Abt.33 QM;Ernst-Boehe-Str. 23;67059
MNFM100128231;BZ Ludwigshafen Abt.31 FFZ;Ernst-Boehe-Str.23;67059
MNFM100128232;BZ Ludwigshafen Abt.31 MOBIS;Ernst-Boehe-Str. 23;67059
MNFM100128233;BZ Ludwigshafen Abt.19 Personal;Ernst-Boehe-Str. 23;67059
MNFM100128234;BZ Ludwigshafen Abt.308 Hausserv;Ernst-Boehe-Str. 23;67059
NEUMN183440;BZ67 Verkehr(Abt32);Ernst-Boehe-Str. 23;67059
NEUMN183450;Ludwigshafen 25;Ernst-Boehe-Str.25;67059
MNFM100131600;helplinePRO Dauth KFZ-Techniker;Brückweg 6;67067
MNFM100132523;helplinePRO Dauth KFZ -Techniker;Brückweg 6;67067
NEUMN183451;Ludwigshafen 27;August-Bebel-Str. 6;67069
NEUMN183415;Bad Dürkheim;Philipp Krämer Ring 3;67098
NEUMN183455;Schifferstadt;Johann-Mendel-Str.10;67105
NEUMN183443;Maxdorf;Carl-Benz-Str. 2;67133
NEUMN183421;Frankenthal;Adam-Opel-Str.1;67227
NEUMN183422;Freinsheim;Weisenheimer Str. 15;67251
NEUMN183425;Grünstadt;Maybachstr. 4;67269
NEUMN183431;Kirchheimbolanden;Morschheimer Str. 15;67292
NEUMN183424;Göllheim;Robert-Bosch-Ring 11;67307
NEUMN183427;Hettenleidelheim;Gaswerkstr. 17;67310
MNFM100005625;ZB Speyer;Göteborger Str. 5;67346
MNFM100007214;HUB 67 - stationär;Göteborger Str. 5;67346
NEUMN183454;Speyer;Burgstr. 42;67346
NEUMN18981;NL FP Speyer;Göteborger Str. 5;67346
NEUMN183435;Lingenfeld;Karl-Lösch-Str. 1;67360
MNFM100008327;SNL P&P//Hr Bartle;Im Buschwald 12;67361
NEUMN183446;Neustadt;Joseph-Monier-Str. 5;67433
NEUMN183429;Haßloch;Gottlieb Duttenhöfer Str. 81a;67454
NEUMN183437;Lambrecht;Hauptstr. 55;67466
MNFM100123583;ZUI_AH Worms_Worms_LR67;Cornelius-Heyl-Str.57;67547
MNFM100135568;Alphabet Fuhrparkmanagement;Hohenstaufenring 2;67547
MNFM100136390;ÜP Frauenstr.;Frauenstr. 34;67549
MN18441;ZB Worms;Mittelrhein-Str. 18;67550
MNFM100005416;DHL Freight GmbH Worms;Altrheinstr. 9;67550
MNFM100131481;helplinePRO  AHHoll  Worms;Mörstädter Strasse 35;67550
MNFM100131601;helplinePRO HugoHoll Worms;Mörstädterstrasse 35;67550
MNFM100136389;ÜP Neubachstr.;Neubachstr. 100;67551
NEUMN183449;Osthofen;Am Ringofen 7;67574
NEUMN183426;Guntersblum;Wormser Str. 68;67583
NEUBT67100000021;Kaiserslautern;Königstr. 117a;67655
NEUDUP404-MN184;Kaiserslautern 2;Barbarossastr.60;67655
BT55100000000;Fahrgruppe Kaiserslautern;von-Miller-Str. 11b;67661
MN18967;ZB Kaiserslautern;Von-Miller-Str. 11b;67661
NEUMN183420;Enkenbach-Alsenborn;Hainweg 7;67677
MNFM100133341;Sembach;Zeppelinstrasse 22;67681
MNFM100126160;Rodenbach;Am Hühnerbusch 3;67688
NEUBT67100000020;Schopp;Wiesenstraße 16;67707
NEUMN183436;Lauterecken;Bahnhofstr. 16;67742
NEUMN183453;Rockenhausen;Kreuzwiese 2 a;67806
NEUMN183448;Obermoschel;Bahnhofstr. 1a;67823
MNFM100135754;MVV Netze GmbH;Neckarvorlandtstraße 11 - 15 ;68159
MN183733;Mannheim 1;Gotlieb-Daimler-Str.14;68165
BT68100000031;Depot 006;Werner-Heisenberg-Str.8;68167
MNFM100122629;E-POST Solutions GmbH;Dudenstr. 46;68167
MNFM100008158;SC Mannheim;Werner-Heisenberg-Str. 1;68169
MNFM100126120;DHL Express Mannheim;Werner-Heisenberg-Str. 1;68169
MN183735;Mannheim 24;Rheingoldstr. 16;68199
MNFM100007430;DHL Global Forwarding GmbH;Rhenaniastr. 68-70;68199
MNFM100135564;Deutsche Leasing Fleet GmbH;Ohmweg 11-15 ;68199
FT67100000000;6717 Mannheim Süd;Ruhrorterstr. 6;68219
MN183736;Mannheim 81;Neuhofer Str. 1;68219
MNFM100135516;Autohaus Dietrich GmbH;Schwetzinger Landstraße 47 ;68219
MN183731;Mannheim 61;Kloppenheimer Str. 6;68239
MNFM100131522;Wallstadt;Mosbacherstr. 21;68259
MN183734;Mannheim 31;Speckweg 24-26;68305
MN183737;Mannheim 32;Sandhofer Str. 309;68307
BT68100000003;Mannheim 11(VBZ);Turbinenstr. 19;68309
DUP425-MN182;BZ68 Verkehr(Abt.32);Turbinenstr. 21;68309
MN183741;BZ68 Hausservice(Abt.38);Turbinenstr. 21;68309
MN183743;Mannheim 41;Turbinenstr. 19;68309
MNFM100120736;ZB Mannheim Nord;Chemnitzer Str. 11;68309
MNFM100123210;KSC;Turbinenstr. 21;68309
RT30100000030;BZ68 Betriebstechnik(Abt.31);Turbinenstr. 21;68309
RT30100000378;BZ68 Auslieferung/Qual(Abt.33);Turbinenstr. 32;68309
MN183757;Viernheim;Heidelberger Str. 25;68519
MN183716;Edingen-Neckarhausen;Neckarhauser Str. 25;68535
MN183723;Heddesheim;Unterdorfstr. 45;68542
MN183729;Lampertheim;Edisonstr. 15;68623
MN183711;Bürstadt;Die Lächner  5;68642
MN183755;Schwetzingen;Bahnhofanlage 2-4;68723
MNFM100134423;Waghäusel-Wiesental;Albert-Einstein-Str. 4;68753
MN183721;Hockenheim;Max-Plank-Str. 3-5;68766
MN18981;6720 Hockenheim;Pfälzer Ring 4;68766
MN183727;Ketsch;Anemonenweg 1-3;68775
MN183756;St. Leon-Rot;Kirrlacher Str. 1A;68789
MN183719;Heidelberg 25;Kleingemünder Str. 33;69118
BT68100000033;Heidelberg 1;Dischingerstr. 6;69123
MN183748;Neckargemünd;Bahnhofstr. 26;69151
MN183758;Wiesloch;Lempenseite 50/1;69168
MNFM100119496;c/o Heidelberger Druckmaschienen;Gutenbergring;69168
MNFM100123829;Baiertal;Alte Bahnhofstr. 42a;69168
MNFM100135539;Auto-Wagner GmbH & Co. KG;Güterstr. 19 ;69168
MN183730;Leimen;Bgm.-Lingg-Str. 4;69181
MNFM100121158;6718  Leimen;Stralsunder Ring 8;69181
