EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
MN183043;ZSP Stutensee;Am Hasenbiel 12;76297
MN183030;ZSP Malsch;Sezanner Str. 44;76316
MN183037;ZSP Pfinztal;Am Stadion 4;76327
MN183045;ZSP Waldbronn;Marktplatz 12;76337
MN183028;ZSP Linkenh.-Hochst;Karlsruher Str. 38;76351
DUP737-MN181;3675 ZB Rastatt;Industriestr. 15;76437
MN183040;ZSPL Rastatt;Industriestr. 15;76437
MN183003;ZSP Durmersheim;Gewerbestr. 3a;76448
MNFM100003331;ZSP Bietigheim;Gewerbestr. 22;76467
MN182995;ZSP Baden-Baden;Ooser Karlstr. 23-25;76532
MN183010;ZSP Gaggenau;Medienplatz 2;76571
MN183011;ZSP Gernsbach;Bleichstr. 50;76593
MNFM100133540;SG 3540 Betriebssteuerung;Karl-Götz-Str. 4;76593
MN183008;ZSP Forbach;Landstr. 1;76596
MN182994;ZSPL Bruchsal;Werner von Siemens Str. 38 a;76646
MN18549;3671 ZB Bruchsal;Vichystr. 1;76646
MNFM100007215;HUB 76 - stationär;Vichystr.   1;76646
MNFM100136089;PZ 76 Bruchsal AbtLtg. 36;Vichystr. 1;76646
NEUMN18549;PZ 76 Bruchsal Abt.32;Vichystraße 1;76646
MN183036;ZSP Philippsburg;Ausfallweg 3;76661
MN183025;ZSP Kronau;Am alten Nylonwerk 4;76684
MN183035;ZSP Östringen;Am alten Nylonwerk 4;76684
MN183044;ZSP Ubstadt-Weiher;Am alten Nylonwerk 4;76684
MN183023;ZSP Kraichtal;Rathausstr. 24;76703
MN183014;ZSP Hambrücken;Hauptstr. 83;76707
MNFM100118517;c/o Robert Bosch GmbH;Auf der Breit 24;76722
MNFM100008038;c/o Daimler Chrysler AG;Mercedes-Benz-Str.1;76725
MN183012;ZSP Germersheim;Sandstr. 4;76726
MN183047;ZSP Wörth;Hanns-Martin-Schleyer-Str. 5;76744
MN183017;ZSP Jockgrim;Bahnhofstr. 68;76751
MN182997;ZSP Bellheim;Schulstr. 19;76756
MN183041;ZSP Rülzheim;Neue Landstr. 16b;76761
MN183016;ZSP Hagenbach;Schwarzwaldstr. 5;76767
MN183029;ZSPL Landau;Ostbahnstr. 5;76829
MN183000;ZSP Böchingen;Am Woogdamm 1a;76833
MN183015;ZSP Hauenstein;Hauptstr. 6;76846
MN182992;ZSP Annweiler;Bahnhofstr. 13;76855
MNFM100125140;ZSP Albersweiler;Kolchenbachstr. 4;76857
MNFM100131718;helplinePro Autohaus Harald Weis;Kolchenbachstraße 5;76857
MN183013;ZSP Herxheim;Am Gäxwald 20;76863
MN183027;ZSP Kandel;Lauterburger Str. 11;76870
MN182999;ZSP Bad Bergzabern;Im Wernersgrund 2;76887
MNFM100135695;Alphabet Fuhrparkmanagement;Hauptstraße 11;76891
MNFM100135762;Reichstein & Opitz GmbH;Amsterdamer Str. 1 ;7747
MNFM100135481;ernst + könig GmbH;Werner-von-Siemens-Straße 2-4 ;77652
MNFM100004548;BZ Offenburg Abt. 31;Beim Alten Ausbesserungswerk 6;77654
NEUDUP480-MN184;ZSPL Offenburg;Beim Alten Ausbesserungswerk 6;77654
NEUDUP482-MN184;BZ Offenburg Abt. 32;Beim Alten Ausbesserungswerk 6;77654
MNFM100135590;ernst + könig GmbH;Werner-von-Siemens-Straße 2-4 ;77656
MNFM100123587;TU - AK Express;Schillerstr. 4;77694
NEUMN184018;ZSP Kehl;Am alten Bahnhof 4;77694
MNFM100131710;helplinePro Huber Bosch-Service;Mönchsmatten 15;77704
NEUMN184031;ZSP Oberkirch;Eisenbahnstr. 9a;77704
NEUMN184014;ZSP Haslach;Schwarzwaldstr. 8;77716
NEUMN184013;ZSP Gengenbach;Am Winzerkeller 10;77723
NEUMN184023;ZSP Oppenau;Poststr. 5;77728
MNFM100135746;TBV Kühlfahrzeuge GmbH;Im Lossenfeld 13 ;77731
NEUMN184042;ZSP Zell a.H.;Steinenfeld 28;77736
NEUMN184016;ZSP Hohberg;Gewerbestr. 7;77749
NEUMN184006;ZSP Appenweier;Südstr. 1;77767
NEUMN184015;ZSP Gutach;Hausacher Str. 13;77793
NEUMN184008;ZSP Bühl;Eisenbahnstr. 25;77815
NEUMN184025;ZSP Ottersweier;Eisenbahnstr. 34;77833
MNFM100008095;ZSP Lichtenau;Im Gewerbegebiet 10b;77839
MNFM100131708;helplinePro Autoservice Baden;Karl-Bold-Str. 2;77855
MNFM100132524;helplinePro Roth GmbH & Co KG;Karl-Bold-Str. 2;77855
NEUDUP478-MN184;ZSPL Achern;Allerheiligenstr. 14;77855
MNFM100007216;HUB Lahr Abt. 35;Dr Gg-Schaeffler-Str 14;77933
NEUDUP783-MN181;PZ Lahr;Dr Gg-Schaeffler-Str 14;77933
NEUMN184019;ZSP Lahr;Im Götzmann 8;77933
MNFM100128440;ZSP Herbolzheim;Rotackerstr. 4-10;77972
NEUMN184021;ZSP Mahlberg-Orschweier;Rotackerstr. 4-10;77972
NEUMN184012;ZSP Meißenheim;Allmannsweierer Str. 8;77974
MNFM100122649;ZUI_Lackzentrum_VS_LR72,78;Goldenbühlstr. 7;78048
MNFM100128620;Villingen-Schwenningen 1;Auf Herdenen 15;78052
MNFM100005184;Villingen Schwenning  Service PE;Spittelbronnerweg 99;78056
MNFM100005445;Villingen-Schw.  Abt 31 Service;Spittelbronnerweg 99;78056
MNFM100119556;Villingen-Schw. 32;Spittelbronner Weg 99;78056
NEUMN184920;Fahrerstandort BZ 78 Villingen-S;Spittelbronnerweg 99;78056
NEUMN184927;Villingen-Schw. 31;Spittelbronner Weg 89;78056
NEUMN184937;Villingen-Schwenningen;Spittelbronner Weg 99;78056
NEUMN184934;Triberg 31;Adelheid 37;78098
NEUMN184928;St. Georgen 1;Am Markt 4;78112
NEUDUP672-MN184;Furtwangen 31;Rößleplatz 2;78120
MNFM100135393;Harzer Autozentrum GmbH;Allensteinstr. 2a;78166
MNFM100135742;Stadtverwaltung Reutlingen;Allensteinstrasse 2a ;78166
NEUDUP666-MN184;Donaueschingen 31;Robert Gerwig Str. 16;78166
NEUMN184904;Blumberg 31;Hauptstr. 14;78176
MNFM100128622;Singen 31;Werner-von-Siemens-Str. 13;78224
MNFM100131727;helplinePro Ries & Rodrigues;Otto-Hahn-Str.20;78224
MNFM100135585;ernst + könig GmbH;Georg-Fischer-Str. 19 ;78224
NEUDUP670-MN184;Singen;Werner-von-Siemens-Str. 13;78224
NEUMN18511;Fahrerstandort ZSP Singen;Werner von Siemens Str. 13;78224
NEUMN184910;Engen 31;Wilhelm-Maybach-Str. 1;78234
NEUMN184923;Rielasingen-Worblingen 1;Ramsener Str. 1;78239
NEUMN184912;Gottmadingen 31;Poststr. 1;78244
MNFM100007971;TU Viehweger-Transporte;Oskar-Bauhardt-Str. 6;78253
NEUMN184903;Büsingen;Junkerstr. 84;78266
NEUDUP668-MN184;Radolfzell 31;Herrenlandstr. 61;78315
NEUMN184929;Stockach 31;Franz-Ziwey-Ring 17;78333
MNFM100135566;ernst + könig GmbH;Opelstrasse 1 ;78467
NEUMN184917;Konstanz 31;Max-Stromeyer-Str. 116;78467
MNFM100121100;Fahrzeugstellplatz;Eisenbahnstr.15;78532
MNFM100128623;Tuttlingen 1;Eisenbahnstr. 15;78532
NEUMN184932;Tuttlingen;Eisenbahnstr. 15;78532
NEUMN184930;Spaichingen;Keplerstr. 3;78549
NEUMN184940;Wehingen 31;Bahnhofstr. 14;78564
MNFM100135623;ernst + könig GmbH;Tuttlinger Str. 82 ;78628
NEUMN184924;Rottweil 1;Königstr. 12;78628
MNFM100007946;DHL Global Forwarding GmbH;Industriestr. 15;78647
MNFM100112766;NL Trossingen;Industriestr. 15;78647
NEUMN184925;Schramberg 31;Christoph-Schweizer-Str. 12;78713
MNFM100000552;Oberndorf 31;Bahnhofstr. 12;78727
MNFM100132800;Firmen und Märkte;Bertoldstr. 55-59;79098
MN182117;ZSP Freiburg 50;Basler Str. 63;79100
MN182119;ZSP Freiburg 70;Schwarzwaldstr. 151;79102
DUP250-MN184;ZSPL Freiburg;Hanferstr. 18;79108
DUP252-MN184;BZ Freiburg Abt. 32;Hanferstr. 18;79108
MN182118;ZSP Freiburg 80 VZ;Hanferstr. 20;79108
MN18758;MechZB Freiburg;Einsteinstr. 7;79108
MNFM100004527;BZ Freiburg Abt. 31;Hanferstr. 18;79108
MNFM100005389;BZ Freiburg Abt. 19;Hanferstr. 18;79108
MNFM100005393;BZ Freiburg Abt. 33;Hanfer Str. 18;79108
MNFM100008385;BZ Freiburg Abt. 36;Hanferstr. 18;79108
MNFM100120237;ModulZB Freiburg;Weißerlenstr. 5d;79108
MNFM100120779;BZ Freiburg BR;Hanferstr. 18;79108
MNFM100135484;ernst + könig GmbH;Mooswaldallee 2 ;79108
MNFM100122628;ZUI_Fa. Kobsch_Freiburg_ LR77,79;Sasbacher Str. 11;79111
MNFM100131700;helplinePro Werner Kobsch;Sasbacher Str. 11;79111
MN182115;ZSP Freiburg 34;Altgasse 5;79112
MN182170;ZSP Waldkirch;August-Jeanmaire-Str. 14;79183
MNFM100135643;Autohaus Schmid Waldkirch GmbH;Stahlhofstraße 3 ;79183
MN182105;ZSP Bad Krozingen;Norsinger Str. 5;79189
MN182127;ZSP Gundelfingen;Gewerbestr. 1;79194
MN182136;ZSP Kirchzarten;Lindenbergstr. 4;79199
MN182106;ZSP Breisach;Ihringer Landstr. 16;79206
MN182108;ZSP Denzlingen;Bahnhofstr. 4;79211
MNFM100130362;Sg 3540 Betriebssteuerung;Bahnhofstr. 4;79211
MN182112;ZSP Elzach;Freiburger Str. 19;79215
MN182161;ZSP Staufen;Im Gaisgraben 11;79219
MN182143;ZSP March;Eichstetter Str. 53;79232
MN182144;ZSP Merzhausen;Zur Bitzenmatte 2;79249
MNFM100135779;Johannes Ruf Bäckerei;Scheuergasse 2 ;79271
DUP248-MN184;ZSPL Emmendingen;Denzlinger Str. 35;79312
MNFM100135615;ernst + könig GmbH;Blochmattenstr. 1 ;79331
MNFM100005840;DHL Freight GmbH Herbolzheim;Breisgauallee 10;79336
MNFM100112345;DHL Global Forwarding GmbH;Breisgauallee 10;79336
MNFM100123128;BU Herbolzheim;Sven-Kovacs-Str. 5;79336
MNFM100123593;TU - DHL Express Herbolzheim;Sven-Kovacs-Straße 6;79336
MNFM100124461;DHL Express Freiburg GmbH;Sven-Kovacs-Straße 6;79336
MNFM100128840;DHL Express Herbolzheim;Sven-Kovacs-Straße 6;79336
MN182135;ZSP Kenzingen;Eisenbahnstr. 30;79341
MN182110;ZSP Endingen;Eisenbahnstr. 3;79346
MN182146;ZSP Müllheim;Klosterrunsstr. 19;79379
MN182137;ZSP Kandern;Im Käppele 24;79400
MNFM100131520;Operations Support Brief;Hegenheimer Straße 18;79537
DUP254-MN184;ZSPL Lörrach;Küpferstr. 3;79540
MN182113;ZSP Efringen-Kirchen;Im Wörth 19;79576
MN182171;ZSP Weil am Rhein;Grenzstr. 19;79576
MNFM100135586;ernst + könig GmbH;Freiburger Straße 112 ;79576
MNFM100120035;MechZB Efringen-Kirchen;Im Schlöttle 15;79588
MN182149;ZSP Rheinfelden;Ochsenmattstr. 6;79618
MN182128;ZSP Grenzach-Wyhlen;Jacob-Burckhardt-Str. 6;79639
MN182152;ZSP Schopfheim;Hohe-Flum-Str. 16a;79650
MN182174;ZSP Zell  i. Wiesental;Gottfried-Fessmann-Str. 20;79669
MN182153;ZSP Schönau;Schönenbuchen 4;79677
DUP256-MN184;ZSPL Bad Säckingen;Industriestr. 1;79713
NEUMN18756;FSP ZSP-Express Bad Säckingen;Industriestr. 1;79713
MN182126;ZSP Görwihl;Marktplatz 5;79733
MNFM100005266;ZSP Waldshut-Tiengen;Maybachstr. 2;79761
MNFM100123860;BZ Frbg Abt. 31 AS Waldshut-Tien;;79761
MNFM100135584;ernst + könig GmbH;Nikolaus-Otto-Straße 2 ;79761
MN182134;ZSP Klettgau;Hauptstr. 67;79771
MN182100;ZSP Albbruck;Bahnhofstr. 14;79774
MN182166;ZSP Ühlingen-Birkendorf;Hauptstr. 17;79777
MN182158;ZSP Stühlingen;Hauptstr. 15;79780
MN182132;ZSP Jestetten;Allmendweg 1;79798
MN182164;ZSP Titisee-Neustadt;Gutachstr. 56;79822
MN182154;ZSP St. Blasien;Im Füllenplatz 23;79837
MN182103;ZSP Bonndorf;Martinstr. 9;79848
MNFM100007854;GB Vertrieb Brief GK Süd;Arnulfstr. 60;80335
MNFM100119838;KA PB / OM Region Süd/Südwest;Bayerstr. 49;80335
MNFM100120421;KA DP DHL / PM Technical Süd;Wredestr. 7;80335
MNFM100123079;OM Region Süd/Südwest;Bayerstr. 49;80335
MNFM100123147;WO/DO TS München;Wredestr. 7;80335
MNFM100125604;TS München WO/DO;Wredestr. 7;80335
MNFM100125668;TS München TS Koordination;Wredestr. 7;80335
MNFM100133102;PB Firmenkunden AG;Sonnenstr. 24 - 26;80335
MNFM100137109;Presse// Hr Nier;Arnulfstr. 60;80335
MNFM100135682;Alphabet Fuhrparkmanagement;Maximillianstraße 53;80530
DUP434-MN184;BZ 80 Verkehr (Abt. 32);Arnulfstraße 195;80634
DUP438-MN184;München;Arnulfstraße 195;80634
DUP446-MN184;München 11;Arnulfstr. 195;80634
MN183799;München 18;Arnulfstr. 195;80634
MNFM100004581;BZ80 Betriebstechnik(Abt.31);Arnulfstr. 195;80634
MNFM100004583;BZ80 Hausservice(Abt.38);Arnulfstr. 195;80634
MNFM100008172;RGB Betrieb BRIEF Süd;Arnulfstr. 195;80634
MNFM100111445;Zentrale, Abt 21B4, Packstation;Arnulfstr. 195;80634
MNFM100112605;BZ 80 Auslieferung/Qual.(Abt.36);Arnulfstr. 195;80634
MNFM100116105;München;Arnulfstraße 195;80634
MNFM100120016;WO/DO TS München;Arnulfstr. 195;80634
MNFM100123622;Sg Flächenvertr./EB-Team München;Arnulfstr. 195;80634
MNFM100133743;Vorbereitungszentrum im BZ;Arnulfstr. 195;80634
MNFM100133945;NL MKV, ZG 4400 // Fr Leidl;Arnulfstr 195;80634
MNFM100134224;RGB BRIEF S// Fr Althaus;Arnulfstr. 195;80634
MNFM100137553;München 72;Arnulfstr. 195;80634
RT60200000000;BZ80 Hausservice(Abt.38);Arnulfstr. 195;80634
RT60200000480;BZ80 Auslieferung/Qual(Abt.33);Arnulfstr. 195;80634
RT60200000481;BZ80 Betriebstechnik(Abt.31);Arnulfstr. 195;80634
MNFM100122840;ZB 8501 mech München CLZ;Reitknechtstr. 40;80639
MNFM100133100;TS München TS Koordination;Landsberger Straße 308-312;80687
MNFM100133101;TS München TS Koordination WO/DO;Landsberger Straße 308-312;80687
MNFM100136609;VL München//Hr Wenzel;Landsberger Str. 308;80687
MN183804;München 40;Saarstr. 7;80791
MNFM100124111;München 41;Am Nordring 20;80807
MNFM100123150;ZB 8593 mech Riesenfeldstr.;Riesenfeldstr. 115;80809
MNFM100124110;München 45;Max-Liebermann-Str. 1;80937
MNFM100135676;Alphabet Fuhrparkmanagement;Lilienthalallee 26 ;80939
MNFM100129581;TU HP Trans GmbH;Wintrichring 48;80992
MN183800;München 50;Wildermuthstr. 88;80993
MNFM100122900;ZB 8527 mech Neubruch;Am Neubruch 15;80997
MNFM100006320;DHL Express (Schweiz) AG;Bahnstraße 122;8105
MNFM100135003;DHL Express (Schweiz) AG;Pumpwerkstrasse 51;8105
MNFM100136333;München 6004;Packenreiterstr. 10;81247
MNFM100120656;ZB 8629 mech Neuaubing;Berta-Kipfmüller-Str. 3;81249
MNFM100136209;München 6005;Ranertstr. 3;81249
MNFM100136335;München 70;Boschetsrieder Str. 80;81379
MNFM100136336;München 71;Herterichstr. 103;81477
MNFM100136338;München 90;Tegernseer Landstr. 181;81539
MNFM100135485;Autobedarf Knoblauch GmbH;Wendelsteinstraße 3;81541
MNFM100000324;München 80;Neumarkter Str. 71;81673
MNFM100124112;München 88;Weltenburgerstr. 6;81677
MNFM100007227;c/o Siemens AG;Otto-Hahn-Ring 6;81739
MNFM100136337;München 83;Putzbrunner Str. 71-73;81739
MNFM100135688;Automobilforum Kuttendreier;Drosselweg 21 ;81827
MNFM100124108;München 84;Karl-Schmid-Str. 4;81829
MNFM100135653;Messe München GmbH;Willy-Brandt-Allee Tor 1 ;81829
NEUMN184993;Taufkirchen;Lindenring 7;82024
NEUMN184962;Grünwald;Schloßstr. 23;82031
NEUMN184946;Deisenhofen;Bahnhofstraße 36;82041
NEUMN184942;Pullach;Gartenstr. 2;82049
NEUMN184991;Sauerlach;Münchener Str. 4;82054
MNFM100121001;MechZB Germering;Lise-Meitner-Str 3;82110
NEUMN184954;Germering;Landsberger Str. 7;82110
NEUMN184957;Gauting;Bahnhofplatz 4;82131
NEUMN184978;Olching;Ilzweg 3;82140
NEUMN184981;Planegg;Reichartstr. 1;82166
MNFM100123588;Fürstenfeldbruck ZSPL;Zeppelinstr. 4;82178
NEUDUP680-MN184;Gröbenzell;Olchinger Str. 142;82194
NEUMN184984;FSP Gröbenzell;Olchinger Str. 142;82194
NEUMN184955;Gilching;Landsberger Str. 7;82205
NEUMN184967;Herrsching;Bahnhofstraße 36;82211
NEUMN184974;Maisach;Otto-Hahn-Str. 5;82216
DUP497-MN181;8602 Fürstenfeldbruck;Münchner Str. 50;82256
MNFM100122660;ZUI Obma Service FFB LR 80,81;Landsberger Str.69;82256
MNFM100122662;ZUI Obma Service GmbH FFB LR82;Landsberger Str. 69;82256
NEUDUP674-MN184;Fürstenfeldbruck;Hubertusstr. 10;82256
MNFM100130740;Inning;Carl-Benz-Str. 7;82266
NEUMN184958;Grafrath;Brunnleitenstr 2;82284
NEUMN184973;Mammendorf;Benzstr. 9;82291
MNFM100005119;NL Briefpost Rosenheim BZ Schorn;Schorn 5;82319
MNFM100136670;SNL P&P//Hr Bothner;Schorn 5;82319
NEUDUP682-MN184;Starnberg;Rheinlandstr. 10;82319
NEUDUP684-MN184;BZ 82 Verkehr (Abt. 32);Schorn 5;82319
NEUMN184947;Ebenhausen;Schorn 5;82319
RT60200000600;BZ82 Hausservice (Abt 8238);Schorn 5;82319
MNFM100007294;FSP Weilheim;Leprosenweg 11;82362
NEUDUP686-MN184;Weilheim;Leprosenweg 11;82362
NEUMN184980;Penzberg;Frauenhoferstr. 11;82377
NEUMN184982;Peißenberg;Hauptstraße 79;82380
NEUBT78100000020;CH-8240 Thayngen;Zollstr. 77;8240
NEUMN184972;Murnau;Bahnhofstraße 1;82418
NEUMN184971;Kochel;Bahnhofstraße 16;82431
MNFM100007293;FSP Garmisch-Partenkirchen;Bahnhofstr. 30;82467
NEUMN184961;Garmisch-Partenkirchen;Bahnhofstr. 30;82467
NEUMN184979;Unterammergau;In der Weide 3;82497
NEUMN184965;Wolfratshausen;Hans-Urmiller-Ring 19;82515
DUP499-MN181;8601 Geretsried;Bürgermeister-Graf-Ring 19;82538
MNFM100007295;FSP Gelting-Geretsried;Bürgerm-Graf-Ring 16;82538
NEUMN184960;Geretsried;Blumenstr. 21a;82538
MNFM100133580;RB Süd/FG Oberbayern;Bahnhofstr 21-23;83022
DUP558-MN184;Rosenheim ZSP;Klepperstr. 18a;83026
MN183581;8504 Rosenheim;Georg-Aicher-Str. 5;83026
MN184343;Bad Aibling;Bahnhofstraße 17;83043
MNFM100126742;DHL Express Bad Aibling;Ebersberger Str. 79  Gebäude 341;83043
MNFM100126762;DHL Express Bad Aibling;Ebersberger Str. 79 Gebäude 341;83043
MN184341;Bruckmühl 1;Sonnenwiechser Straße 3;83052
MNFM100122663;ZUI Leicht GmbH Kolbermoor LR83;Hasslerstr. 1a;83056
MN184358;Kolbermoor;Hasslerstraße 3;83059
MNFM100005134;BZ 83 Verkehr (Abt. 32);Staatsstr. 98-100;83059
MNFM100115426;BZ Rosenheim Abt 31 MOBIS;Staatsstraße 98-100;83059
MNFM100135645;Auto Eder GmbH;Rosenheimer Straße 59 ;83059
RT60200000300;BZ83 Verkehr(Abt.32);Staatsstr. 98-100;83059
RT60200000302;BZ83 Hausservice (Abt 38);Staatsstr. 98-100;83059
MN184374;Raubling 1;Bahnhofstraße 29;83064
MN184383;Stephanskirchen 1;Kleinholzener Weg 14;83071
MN184337;Bad Feilnbach;Johann-Flitsch-Str. 8a;83075
MN184365;Oberaudorf 1;Rosenheimer Straße 18;83080
MN184336;Bad Endorf;Chiemseestraße 1;83093
MNFM100001128;Rohrdorf 1;Törwanger Str. 11;83101
MN184387;Tuntenhausen 1;Oberrainer Feld 5;83104
MN184366;Obing;Rosenheimer Str. 11;83119
MNFM100008419;Flintsbach;Tiefenbacher Weg 11;83126
MN184384;Schonstett;Aichet 5;83137
MN184351;Grassau 1;Bahnhofstraße 33;83224
MN184392;Unterwössen 1;Rathausplatz 4;83246
MN184368;Rimsting;St.-Salvator 9;83253
BT83100000007;FSP Traunstein;Wimpasinger Str. 18;83278
DUP562-MN184;Traunstein;Wimpasinger Str. 18;83278
MNFM100135753;Karl Schaffler Kraftfahrzeuge;Wasserburger Straße 66 ;83278
MN184389;Traunreut;Eichendorffstraße 14;83301
MN184391;Trostberg;Dr.-Albert-Frank-Straße 14;83308
MN184386;Teisendorf;Freidlinger Str. 21;83317
MN184375;Ruhpolding;Seehauser Str. 43;83324
MN184394;Waging a See;Bahnhofstraße 42;83329
MN184345;Chieming;Johannes-Heidenhainstr. 3;83339
MN184349;Freilassing 1;Industriestr. 20;83395
MN184361;Laufen;Kiem-Pauli Str. 9;83410
BT83100000005;FSP Bad Reichenhall;Am Kraftwerk 3;83435
DUP552-MN184;Bad Reichenhall;Bahnhofstraße 35;83435
MNFM100005704;Bad Reichenhall 2;Am Kraftwerk 7;83435
MN184340;Berchtesgaden 2;Am Pfaffenkogel 1;83483
MN184393;Wasserburg 1;Bahnhofsplatz 10;83512
MN184354;Haag;Rainbachstr. 42;83527
MNFM100135488;BayWa AG;Rosenheimer Str. 51;83556
BT83100000000;Ramerberg;Hofstett 2;83561
MNFM100005249;Holzkirchen;Rudolf-Diesel-Ring 8;83607
MN184347;Feldkirchen-Westerham 1;Otto-von-Steinbeiß-Str. 5;83620
MNFM100131543;HelplinePro  AH Daxer&Kessler;Dietramzeller Str. 23;83624
DUP550-MN184;Bad Tölz 1;Kolpingstr. 1;83646
MN184362;Lenggries 1;Wegscheiderstr. 14a;83661
MN184395;Waakirchen 2;Krottentahler Alm 9;83666
MN184342;Benediktbeuern;Prälatenstraße 1;83671
MNFM100005247;Kreuth;Rainerweg 37;83700
MNFM100135543;besico Siller & Buttenhauser;Waldenburger Straße 115 ;8371
DUP554-MN184;Miesbach;Oskar-von-Miller-Str. 40;83714
MN184355;Hausham;Industriestr. 22;83734
MN18950;ZB Landshut;Waldkirchener Str. 13;84030
MNFM100135668;AUTOHAUS MUNDIGL GmbH;Ottostraße 15 ;84030
NEUDUP398-MN184;Abt. 32 NL Prod. BRIEF Landshut;Waldkirchener Str. 18;84030
NEUMN183331;Landshut (La);Benzstr. 5;84030
MNFM100005411;Abt. 31 NL BRIEF Landshut;Waldkirchnerstr. 18;84041
NEUMN183332;Mainburg (La);Am Haidholz 2;84048
NEUMN183324;Essenbach (La);Friedhofstr. 19;84051
NEUMN183342;Rottenburg (La);Industriestr. 13;84056
NEUMN183333;Mallersdorf-Pfaffenberg (La);Lindharter Weg 25;84066
NEUMN183341;Pfeffenhausen (La);Elsbethenring 16;84076
NEUMN183338;Wörth a.d. Isar (La);Boschstr.  13;84109
MNFM100131502;HelplinePro  AH Pfaffenberger;Bayernwerkstr.82;84130
NEUMN183320;Dingolfing (Eg);Römerstr. 8;84130
MNFM100122626;ZUI Ostermaier Vilsbiburg LR84;Landshuter Str. 9;84137
NEUMN183351;Vilsbiburg (Eg);Schwalbenholzstr. 8;84137
NEUMN183326;Gangkofen (Mü);Industriesiedlung 6;84140
NEUMN183328;Geisenhausen (Eg);Boschstr. 21;84144
NEUMN183350;Velden (Mü);Preysing-Allee 7c;84149
NEUMN183352;Vilsheim (La);Am Stillbach 7;84186
NEUDUP394-MN184;Eggenfelden (Eg);Lauterbachstr. 40;84307
MNFM100135363;Alphabet Fuhrparkmanagement;Am Reiterfeld 8 ;84329
NEUMN183340;Pfarrkirchen (Eg);Max-Lanz-Str. 8;84347
NEUMN18955;Fahrgruppe Pfarrkirchen;Max-Lanz-Str. 8;84347
NEUMN183345;Simbach am Inn (Eg);Adolf-Kolping-Str. 34;84359
MNFM100007676;Zeilarn (Eg);Sportplatzstrasse 6;84367
NEUMN183321;Dorfen (Mü);Haager Str. 59;84405
NEUMN183347;Taufkirchen (Mü);Brunnholzring 3;84416
NEUMN183344;Schwindegg (Mü);Wehrstraße 1;84419
MNFM100131544;HelplinePro  AH Kellner&Huber;Am Industriepark 13;84453
NEUDUP400-MN184;Mühldorf (Mü);Edisonstr. 9;84453
NEUMN183353;Waldkraiburg (Mü);Berliner Platz 3;84478
NEUMN183318;Burghausen (Eg);Burgkirchener Str. 3;84489
NEUMN183316;Altötting (Mü);Martin-Moser-Str. 17;84503
MNFM100135589;Deutsche Leasing Fleet GmbH;Fuhrmannstraße 5a ;84508
NEUMN183319;Burgkirchen (Mü);Fuhrmannstr. 12;84508
NEUMN183327;Unterneukirchen  (Mü);Hilger 1A;84579
MNFM100135587;Nieders. Akademie für Brand -;Burgstraße 42 ;8468
DUP264-MN184;Ingolstadt 1 (In);Bahnhofstraße 9;85051
MNFM100001744;Abt. 32 FD Ingolstadt;Bahnhofstr. 9;85051
MNFM100136689;NL MKV, //Hr Tosolini;Bahnhofstr. 9;85051
MN182202;Ingolstadt 2 (In);Siemensstr. 4;85055
MN182183;Eichstätt (In);Am Dörrenhof 9a;85072
MN182211;Manching (In);Weberstr. 6;85077
MNFM100115218;InHaus Services GmbH, Manching;Rechliner Str. 1;85077
MN182194;Gaimersheim (In);Porschestr.2;85080
MN182224;Reichertshofen (In);Wackerstr. 18;85084
MN182229;Vohburg (In);Gewerbestraße 5;85088
MNFM100136029;SNL PeP//Hr Sperl;Humboldtstr. 16;85098
MN182208;Lenting (In);Hepberger Weg 8;85101
MN18951;ZB Lenting;Hepberger Weg 8;85101
MN182203;Kipfenberg (In);Försterstraße 39;85110
DUP258-MN184;Dachau (Da);Bahnhofstraße 7;85221
MN182209;Markt Indersdorf (Da);Industriestr. 25;85229
MN182222;Petershausen (Da);Frauenhoferring 4;85238
MN182176;Altomünster (Da);Gewerbepark 25;85250
MN182221;Pfaffenhofen (In);Stadtgraben 13;85276
MN182232;Wolnzach (In);Am Brunnen 9;85283
MN182190;Geisenfeld (In);Grabengasse 19;85290
DUP262-MN184;Freising (Er);Bahnhofplatz 1;85354
DUP260-MN184;Abt. 32 NL Prod. BRIEF Freising;Freisinger Allee 6;85356
MN182199;Hallbergmoos (Er);Freisinger Allee 6;85356
MNFM100001925;Abt. 31 NL Freising ELN;Freisinger Allee 6;85356
MNFM100005442;Abt. 31 NL BRIEF Freising;Freisinger Allee 6;85356
MNFM100005443;Abt. 32 NL Freising ELN;Freisinger Allee 6;85356
MNFM100005492;Abt. 19 NL BRIEF Freising;;85356
MNFM100008642;DHL Global Forwarding GmbH;Südallee, Fachtmodul F;85356
MNFM100132500;TDI GTW München;Südallee Terminal A;85356
MNFM100135635;Autohaus Ewald GmbH;Clemensänger Ring 4 ;85356
MNFM100136910;Express//Hr Köpsel;Südallee Terminal A;85356
MNFM100133763;Abt. 33 NL Prod. BRIEF Freising;Freisinger Allee 6;85359
MNFM100137169;ZB-Leitung;Freisinger Allee 6;85359
MN182212;Moosburg (La);Bahnhofstraße 12;85368
MN182184;Eching (Er);Freisinger Str. 29;85386
MN182178;Allershausen (Er);Freisinger Straße 2;85391
MN182214;Attenkirchen (Er);Am Bachfeld 4;85395
